date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-08-10,1702.76,1702.76,1885.0,1885.0,1656.78,1656.78,1853.57,1853.57,1317767.5127,1317767.5127
2022-08-09,1777.05,1777.05,1790.83,1790.83,1667.93,1667.93,1702.76,1702.76,818171.1019,818171.1019
2022-08-08,1700.2,1700.2,1818.0,1818.0,1693.87,1693.87,1777.05,1777.05,781620.5443,781620.5443
2022-08-07,1690.6,1690.6,1729.79,1729.79,1668.0,1668.0,1700.19,1700.19,439904.764,439904.764
2022-08-06,1736.81,1736.81,1749.93,1749.93,1685.26,1685.26,1690.6,1690.6,523314.6444,523314.6444
2022-08-05,1607.97,1607.97,1742.07,1742.07,1605.64,1605.64,1736.81,1736.81,1005846.4712,1005846.4712
2022-08-04,1618.16,1618.16,1662.79,1662.79,1580.39,1580.39,1607.96,1607.96,735552.181,735552.181
2022-08-03,1630.91,1630.91,1685.03,1685.03,1589.71,1589.71,1618.16,1618.16,777724.7413,777724.7413
2022-08-02,1630.28,1630.28,1678.0,1678.0,1559.28,1559.28,1630.91,1630.91,1081964.5104,1081964.5104
2022-08-01,1678.12,1678.12,1704.68,1704.68,1606.12,1606.12,1630.28,1630.28,801566.5648,801566.5648
2022-07-31,1697.0,1697.0,1754.69,1754.69,1666.0,1666.0,1678.12,1678.12,696326.8079,696326.8079
2022-07-30,1721.68,1721.68,1744.85,1744.85,1673.01,1673.01,1697.0,1697.0,735132.5286,735132.5286
2022-07-29,1724.52,1724.52,1765.99,1765.99,1655.02,1655.02,1721.68,1721.68,1205266.5703,1205266.5703
2022-07-28,1635.74,1635.74,1784.79,1784.79,1593.27,1593.27,1724.52,1724.52,1578145.07555,1578145.07555
2022-07-27,1449.12,1449.12,1644.44,1644.44,1420.83,1420.83,1635.74,1635.74,1513426.0413,1513426.0413
2022-07-26,1440.79,1440.79,1454.11,1454.11,1356.17,1356.17,1449.12,1449.12,1199643.7408,1199643.7408
2022-07-25,1597.7,1597.7,1609.55,1609.55,1435.58,1435.58,1440.79,1440.79,1418390.9809,1418390.9809
2022-07-24,1548.66,1548.66,1664.34,1664.34,1545.67,1545.67,1597.7,1597.7,1009935.8997,1009935.8997
2022-07-23,1535.27,1535.27,1596.51,1596.51,1488.0,1488.0,1548.67,1548.67,851284.7339,851284.7339
2022-07-22,1575.45,1575.45,1650.05,1650.05,1516.11,1516.11,1535.27,1535.27,1170723.0873,1170723.0873
2022-07-21,1521.63,1521.63,1605.98,1605.98,1463.56,1463.56,1575.45,1575.45,1247327.4963,1247327.4963
2022-07-20,1542.33,1542.33,1620.4,1620.4,1484.23,1484.23,1521.58,1521.58,1351177.4247,1351177.4247
2022-07-19,1581.03,1581.03,1631.0,1631.0,1493.11,1493.11,1542.32,1542.32,1846048.6816,1846048.6816
